item,Apples,Bananas,Beef,Bread,Butter,Cereal,Cheese,Chicken,Chips,Cookies,Detergent,Eggs,Fish,Juice,Milk,Onions,Pasta,Potatoes,Rice,Shampoo,Soap,Soda,Tomatoes,Toothpaste,Water,Yogurt
Fish,0.09090909090909091,0.22727272727272727,0.2727272727272727,0.3181818181818182,0.22727272727272727,0.18181818181818182,0.045454545454545456,0.18181818181818182,0.3181818181818182,0.22727272727272727,0.13636363636363635,0.18181818181818182,1.0,0.18181818181818182,0.09090909090909091,0.18181818181818182,0.045454545454545456,0.13636363636363635,0.2727272727272727,0.13636363636363635,0.22727272727272727,0.13636363636363635,0.13636363636363635,0.18181818181818182,0.0,0.22727272727272727
Juice,0.22727272727272727,0.3181818181818182,0.045454545454545456,0.13636363636363635,0.4090909090909091,0.09090909090909091,0.18181818181818182,0.22727272727272727,0.18181818181818182,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.18181818181818182,1.0,0.18181818181818182,0.18181818181818182,0.22727272727272727,0.13636363636363635,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.22727272727272727,0.18181818181818182,0.13636363636363635,0.18181818181818182,0.13636363636363635
Milk,0.4,0.26666666666666666,0.4,0.13333333333333333,0.2,0.13333333333333333,0.2,0.13333333333333333,0.0,0.2,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.26666666666666666,1.0,0.3333333333333333,0.2,0.26666666666666666,0.2,0.2,0.3333333333333333,0.26666666666666666,0.13333333333333333,0.2,0.26666666666666666,0.2
Onions,0.21739130434782608,0.2608695652173913,0.21739130434782608,0.13043478260869565,0.08695652173913043,0.2608695652173913,0.2608695652173913,0.13043478260869565,0.17391304347826086,0.2608695652173913,0.2608695652173913,0.08695652173913043,0.17391304347826086,0.17391304347826086,0.21739130434782608,1.0,0.21739130434782608,0.21739130434782608,0.17391304347826086,0.2608695652173913,0.30434782608695654,0.08695652173913043,0.13043478260869565,0.21739130434782608,0.08695652173913043,0.13043478260869565
Pasta,0.21052631578947367,0.21052631578947367,0.2631578947368421,0.15789473684210525,0.3684210526315789,0.10526315789473684,0.15789473684210525,0.10526315789473684,0.3157894736842105,0.2631578947368421,0.21052631578947367,0.05263157894736842,0.05263157894736842,0.2631578947368421,0.15789473684210525,0.2631578947368421,1.0,0.21052631578947367,0.0,0.21052631578947367,0.21052631578947367,0.15789473684210525,0.15789473684210525,0.10526315789473684,0.21052631578947367,0.21052631578947367
Potatoes,0.13333333333333333,0.2,0.2,0.13333333333333333,0.2,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.3333333333333333,0.2,0.13333333333333333,0.26666666666666666,0.2,0.2,0.26666666666666666,0.3333333333333333,0.26666666666666666,1.0,0.26666666666666666,0.2,0.6,0.26666666666666666,0.13333333333333333,0.06666666666666667,0.26666666666666666,0.2
Rice,0.1875,0.1875,0.125,0.1875,0.25,0.125,0.125,0.3125,0.25,0.1875,0.0,0.25,0.375,0.25,0.1875,0.25,0.0,0.25,1.0,0.25,0.25,0.1875,0.125,0.1875,0.0625,0.0625
Shampoo,0.2,0.15,0.3,0.05,0.45,0.3,0.05,0.3,0.2,0.4,0.1,0.05,0.15,0.2,0.15,0.3,0.2,0.15,0.2,1.0,0.35,0.2,0.15,0.3,0.1,0.25
Soap,0.16,0.24,0.28,0.2,0.24,0.24,0.12,0.12,0.12,0.24,0.2,0.2,0.2,0.16,0.2,0.28,0.16,0.36,0.16,0.28,1.0,0.32,0.2,0.2,0.28,0.28
Soda,0.1,0.15,0.15,0.2,0.3,0.25,0.1,0.1,0.2,0.3,0.1,0.15,0.15,0.25,0.2,0.1,0.15,0.2,0.15,0.2,0.4,1.0,0.15,0.2,0.2,0.25
Tomatoes,0.2,0.13333333333333333,0.4,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.2,0.26666666666666666,0.2,0.3333333333333333,0.3333333333333333,0.13333333333333333,0.2,0.26666666666666666,0.13333333333333333,0.2,0.2,0.13333333333333333,0.13333333333333333,0.2,0.3333333333333333,0.2,1.0,0.4,0.13333333333333333,0.06666666666666667
Toothpaste,0.09090909090909091,0.13636363636363635,0.22727272727272727,0.13636363636363635,0.2727272727272727,0.3181818181818182,0.18181818181818182,0.2727272727272727,0.2727272727272727,0.18181818181818182,0.22727272727272727,0.22727272727272727,0.18181818181818182,0.13636363636363635,0.13636363636363635,0.22727272727272727,0.09090909090909091,0.045454545454545456,0.13636363636363635,0.2727272727272727,0.22727272727272727,0.18181818181818182,0.2727272727272727,1.0,0.2727272727272727,0.2727272727272727
Water,0.3157894736842105,0.15789473684210525,0.21052631578947367,0.15789473684210525,0.2631578947368421,0.2631578947368421,0.2631578947368421,0.21052631578947367,0.15789473684210525,0.10526315789473684,0.3157894736842105,0.2631578947368421,0.0,0.21052631578947367,0.21052631578947367,0.10526315789473684,0.21052631578947367,0.21052631578947367,0.05263157894736842,0.10526315789473684,0.3684210526315789,0.21052631578947367,0.10526315789473684,0.3157894736842105,1.0,0.21052631578947367
Yogurt,0.3076923076923077,0.3076923076923077,0.19230769230769232,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.038461538461538464,0.19230769230769232,0.15384615384615385,0.19230769230769232,0.23076923076923078,0.19230769230769232,0.19230769230769232,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.15384615384615385,0.11538461538461539,0.038461538461538464,0.19230769230769232,0.2692307692307692,0.19230769230769232,0.038461538461538464,0.23076923076923078,0.15384615384615385,1.0
