antecedents,consequents,support,confidence,lift
"Cookies,Detergent,Pasta",Tomatoes,0.02,1.0,6.666666666666667
"Eggs,Onions",Cheese,0.02,1.0,6.666666666666667
"Fish,Soap,Soda",Potatoes,0.02,1.0,6.666666666666667
"Juice,Milk,Soap",Potatoes,0.02,1.0,6.666666666666667
"Juice,Onions,Rice",Potatoes,0.02,1.0,6.666666666666667
"Juice,Potatoes,Soap",Milk,0.02,1.0,6.666666666666667
"Milk,Soda,Water",Potatoes,0.02,1.0,6.666666666666667
"Onions,Shampoo,Soap,Toothpaste",Tomatoes,0.02,1.0,6.666666666666667
"Pasta,Shampoo,Soap",Potatoes,0.02,1.0,6.666666666666667
"Potatoes,Soda,Water",Milk,0.02,1.0,6.666666666666667
"Shampoo,Soap,Toothpaste",Tomatoes,0.02,1.0,6.666666666666667
"Tomatoes,Water",Potatoes,0.02,1.0,6.666666666666667
"Chicken,Shampoo,Soap",Rice,0.02,1.0,6.25
"Chicken,Shampoo,Toothpaste",Rice,0.02,1.0,6.25
"Chips,Cookies,Fish",Rice,0.02,1.0,6.25
"Juice,Onions,Potatoes",Rice,0.02,1.0,6.25
"Bread,Detergent,Yogurt",Eggs,0.02,1.0,5.555555555555555
"Butter,Juice,Soap",Cereal,0.02,1.0,5.555555555555555
"Butter,Juice,Soap,Soda",Cereal,0.02,1.0,5.555555555555555
"Butter,Soda,Toothpaste",Cereal,0.02,1.0,5.555555555555555
"Chicken,Detergent,Toothpaste",Eggs,0.02,1.0,5.555555555555555
"Chicken,Detergent,Yogurt",Eggs,0.02,1.0,5.555555555555555
"Chicken,Milk",Eggs,0.02,1.0,5.555555555555555
"Chips,Fish,Soda",Eggs,0.02,1.0,5.555555555555555
"Cookies,Onions,Shampoo,Toothpaste",Cereal,0.02,1.0,5.555555555555555
"Cookies,Onions,Toothpaste",Cereal,0.02,1.0,5.555555555555555
"Cookies,Shampoo,Toothpaste",Cereal,0.02,1.0,5.555555555555555
"Cookies,Soap,Toothpaste",Cereal,0.02,1.0,5.555555555555555
"Cookies,Soda,Toothpaste",Cereal,0.02,1.0,5.555555555555555
"Cookies,Tomatoes,Toothpaste",Cereal,0.02,1.0,5.555555555555555
"Cookies,Toothpaste",Cereal,0.04,1.0,5.555555555555555
"Detergent,Shampoo",Cereal,0.02,1.0,5.555555555555555
"Juice,Soap,Soda",Cereal,0.02,1.0,5.555555555555555
"Soda,Tomatoes,Toothpaste",Cereal,0.02,1.0,5.555555555555555
"Apples,Bananas,Detergent",Pasta,0.02,1.0,5.2631578947368425
"Apples,Beef,Soap",Water,0.02,1.0,5.2631578947368425
"Apples,Soap,Yogurt",Pasta,0.02,1.0,5.2631578947368425
"Apples,Toothpaste",Chicken,0.02,1.0,5.2631578947368425
"Bananas,Detergent,Onions",Water,0.02,1.0,5.2631578947368425
"Beef,Bread,Chips",Pasta,0.02,1.0,5.2631578947368425
"Beef,Butter",Chicken,0.03,1.0,5.2631578947368425
"Beef,Butter,Chips",Chicken,0.02,1.0,5.2631578947368425
"Beef,Butter,Chips,Shampoo",Chicken,0.02,1.0,5.2631578947368425
"Beef,Butter,Shampoo",Chicken,0.02,1.0,5.2631578947368425
"Beef,Butter,Toothpaste",Chicken,0.02,1.0,5.2631578947368425
"Beef,Chips,Rice",Chicken,0.02,1.0,5.2631578947368425
"Beef,Chips,Shampoo",Chicken,0.02,1.0,5.2631578947368425
"Beef,Chips,Toothpaste",Chicken,0.02,1.0,5.2631578947368425
"Beef,Eggs,Soap",Water,0.02,1.0,5.2631578947368425
"Beef,Potatoes,Soap",Water,0.02,1.0,5.2631578947368425
"Beef,Rice",Chicken,0.02,1.0,5.2631578947368425
"Butter,Juice,Milk",Water,0.02,1.0,5.2631578947368425
"Cookies,Detergent,Tomatoes",Pasta,0.02,1.0,5.2631578947368425
"Detergent,Juice",Pasta,0.02,1.0,5.2631578947368425
"Detergent,Juice",Water,0.02,1.0,5.2631578947368425
"Detergent,Juice,Pasta",Water,0.02,1.0,5.2631578947368425
"Detergent,Juice,Water",Pasta,0.02,1.0,5.2631578947368425
"Eggs,Milk",Chicken,0.02,1.0,5.2631578947368425
"Milk,Potatoes,Soda",Water,0.02,1.0,5.2631578947368425
"Potatoes,Tomatoes",Water,0.02,1.0,5.2631578947368425
"Rice,Shampoo,Toothpaste",Chicken,0.02,1.0,5.2631578947368425
"Apples,Bananas,Shampoo",Cookies,0.02,1.0,5.0
"Apples,Milk,Yogurt",Shampoo,0.02,1.0,5.0
"Bananas,Fish,Potatoes,Soap",Soda,0.02,1.0,5.0
"Bananas,Fish,Soap",Soda,0.02,1.0,5.0
"Bananas,Potatoes,Soap",Soda,0.02,1.0,5.0
"Beef,Bread,Pasta",Chips,0.02,1.0,5.0
"Beef,Butter,Chicken,Chips",Shampoo,0.02,1.0,5.0
"Beef,Butter,Chicken,Shampoo",Chips,0.02,1.0,5.0
"Beef,Butter,Chips",Shampoo,0.02,1.0,5.0
"Beef,Butter,Shampoo",Chips,0.02,1.0,5.0
"Beef,Chicken,Pasta",Chips,0.02,1.0,5.0
"Beef,Chicken,Rice",Chips,0.02,1.0,5.0
"Beef,Cookies,Milk",Shampoo,0.02,1.0,5.0
"Beef,Cookies,Onions",Shampoo,0.02,1.0,5.0
"Beef,Cookies,Onions,Soap",Shampoo,0.02,1.0,5.0
"Beef,Fish,Soap",Cookies,0.02,1.0,5.0
"Beef,Milk,Shampoo",Cookies,0.02,1.0,5.0
"Beef,Onions,Shampoo",Cookies,0.02,1.0,5.0
"Beef,Onions,Shampoo,Soap",Cookies,0.02,1.0,5.0
"Beef,Rice",Chips,0.02,1.0,5.0
"Beef,Shampoo,Soap",Cookies,0.02,1.0,5.0
"Bread,Fish,Yogurt",Soda,0.02,1.0,5.0
"Butter,Cereal,Chicken",Shampoo,0.02,1.0,5.0
"Butter,Cereal,Juice",Soda,0.02,1.0,5.0
"Butter,Cereal,Juice,Soap",Soda,0.02,1.0,5.0
"Butter,Cereal,Soap",Soda,0.02,1.0,5.0
"Butter,Cereal,Toothpaste",Soda,0.02,1.0,5.0
"Butter,Chicken,Chips",Shampoo,0.02,1.0,5.0
"Butter,Chicken,Rice",Shampoo,0.02,1.0,5.0
"Butter,Cookies",Shampoo,0.04,1.0,5.0
"Butter,Cookies,Onions",Shampoo,0.02,1.0,5.0
"Butter,Cookies,Pasta",Shampoo,0.02,1.0,5.0
"Butter,Cookies,Soda",Shampoo,0.02,1.0,5.0
"Butter,Fish,Soap",Chips,0.02,1.0,5.0
"Butter,Juice,Shampoo",Soda,0.02,1.0,5.0
"Butter,Juice,Soap",Soda,0.02,1.0,5.0
"Butter,Onions",Cookies,0.02,1.0,5.0
"Butter,Onions",Shampoo,0.02,1.0,5.0
"Butter,Onions,Shampoo",Cookies,0.02,1.0,5.0
"Butter,Rice,Soap",Shampoo,0.02,1.0,5.0
"Butter,Shampoo,Toothpaste",Chips,0.02,1.0,5.0
"Cereal,Cookies,Onions",Shampoo,0.02,1.0,5.0
"Cereal,Cookies,Onions,Toothpaste",Shampoo,0.02,1.0,5.0
"Cereal,Juice",Soda,0.02,1.0,5.0
"Cereal,Juice,Soap",Soda,0.02,1.0,5.0
"Cereal,Onions,Toothpaste",Shampoo,0.03,1.0,5.0
"Cereal,Potatoes",Soda,0.02,1.0,5.0
"Chicken,Pasta",Chips,0.02,1.0,5.0
"Chicken,Rice,Soap",Shampoo,0.02,1.0,5.0
"Chicken,Rice,Toothpaste",Shampoo,0.02,1.0,5.0
"Chips,Detergent,Fish",Bread,0.02,1.0,5.0
"Chips,Eggs,Fish",Soda,0.02,1.0,5.0
"Cookies,Fish,Rice",Chips,0.02,1.0,5.0
"Cookies,Onions,Soap",Shampoo,0.03,1.0,5.0
"Cookies,Onions,Toothpaste",Shampoo,0.02,1.0,5.0
"Cookies,Water",Soda,0.02,1.0,5.0
"Detergent,Eggs,Water",Bread,0.02,1.0,5.0
"Detergent,Fish",Bread,0.03,1.0,5.0
"Detergent,Pasta,Tomatoes",Cookies,0.02,1.0,5.0
"Detergent,Soap,Yogurt",Cookies,0.02,1.0,5.0
"Eggs,Fish,Soda",Chips,0.02,1.0,5.0
"Fish,Potatoes,Soap",Soda,0.02,1.0,5.0
"Fish,Soda,Yogurt",Bread,0.02,1.0,5.0
"Milk,Potatoes,Water",Soda,0.02,1.0,5.0
"Onions,Soap,Tomatoes",Shampoo,0.02,1.0,5.0
"Onions,Soap,Tomatoes,Toothpaste",Shampoo,0.02,1.0,5.0
"Onions,Tomatoes,Toothpaste",Shampoo,0.02,1.0,5.0
"Pasta,Potatoes,Soap",Shampoo,0.02,1.0,5.0
"Apples,Bananas,Pasta",Detergent,0.02,1.0,4.761904761904762
"Bananas,Onions,Water",Detergent,0.02,1.0,4.761904761904762
"Beef,Bread,Tomatoes",Detergent,0.02,1.0,4.761904761904762
"Beef,Eggs,Tomatoes",Detergent,0.02,1.0,4.761904761904762
"Bread,Chips,Fish",Detergent,0.02,1.0,4.761904761904762
"Bread,Eggs,Water",Detergent,0.02,1.0,4.761904761904762
"Bread,Eggs,Yogurt",Detergent,0.02,1.0,4.761904761904762
"Bread,Water",Detergent,0.03,1.0,4.761904761904762
"Chicken,Eggs,Toothpaste",Detergent,0.02,1.0,4.761904761904762
"Chicken,Eggs,Yogurt",Detergent,0.02,1.0,4.761904761904762
"Cookies,Pasta,Tomatoes",Detergent,0.02,1.0,4.761904761904762
"Cookies,Soap,Yogurt",Detergent,0.02,1.0,4.761904761904762
"Eggs,Tomatoes",Detergent,0.02,1.0,4.761904761904762
"Juice,Pasta,Water",Detergent,0.02,1.0,4.761904761904762
"Onions,Water",Detergent,0.02,1.0,4.761904761904762
"Apples,Cereal",Beef,0.03,1.0,4.545454545454546
"Apples,Cereal,Water",Beef,0.02,1.0,4.545454545454546
"Apples,Detergent,Pasta",Bananas,0.02,1.0,4.545454545454546
"Apples,Soap,Water",Beef,0.02,1.0,4.545454545454546
"Bananas,Chips,Juice",Fish,0.02,1.0,4.545454545454546
"Bananas,Chips,Potatoes",Fish,0.02,1.0,4.545454545454546
"Bananas,Cookies,Shampoo",Apples,0.02,1.0,4.545454545454546
"Bananas,Detergent,Pasta",Apples,0.02,1.0,4.545454545454546
"Bananas,Fish,Rice",Juice,0.02,1.0,4.545454545454546
"Bananas,Juice,Rice",Fish,0.02,1.0,4.545454545454546
"Bananas,Potatoes",Fish,0.03,1.0,4.545454545454546
"Bananas,Potatoes,Soap",Fish,0.02,1.0,4.545454545454546
"Bananas,Potatoes,Soap,Soda",Fish,0.02,1.0,4.545454545454546
"Bananas,Potatoes,Soda",Fish,0.02,1.0,4.545454545454546
"Bananas,Tomatoes",Apples,0.02,1.0,4.545454545454546
"Beef,Cereal,Water",Apples,0.02,1.0,4.545454545454546
"Bread,Chips,Pasta",Beef,0.02,1.0,4.545454545454546
"Bread,Cookies",Beef,0.02,1.0,4.545454545454546
"Bread,Detergent,Tomatoes",Beef,0.02,1.0,4.545454545454546
"Bread,Soda,Yogurt",Fish,0.02,1.0,4.545454545454546
"Butter,Cereal,Soap",Juice,0.02,1.0,4.545454545454546
"Butter,Cereal,Soap,Soda",Juice,0.02,1.0,4.545454545454546
"Butter,Cheese",Juice,0.03,1.0,4.545454545454546
"Butter,Cheese,Toothpaste",Juice,0.02,1.0,4.545454545454546
"Butter,Cheese,Water",Juice,0.02,1.0,4.545454545454546
"Butter,Chicken,Chips",Beef,0.02,1.0,4.545454545454546
"Butter,Chicken,Chips,Shampoo",Beef,0.02,1.0,4.545454545454546
"Butter,Chicken,Toothpaste",Beef,0.02,1.0,4.545454545454546
"Butter,Chips,Soap",Fish,0.02,1.0,4.545454545454546
"Butter,Milk,Water",Juice,0.02,1.0,4.545454545454546
"Cereal,Cookies,Onions",Toothpaste,0.02,1.0,4.545454545454546
"Cereal,Cookies,Onions,Shampoo",Toothpaste,0.02,1.0,4.545454545454546
"Cereal,Cookies,Shampoo",Toothpaste,0.02,1.0,4.545454545454546
"Cereal,Cookies,Soap",Toothpaste,0.02,1.0,4.545454545454546
"Cereal,Cookies,Soda",Toothpaste,0.02,1.0,4.545454545454546
"Cereal,Onions,Shampoo",Toothpaste,0.03,1.0,4.545454545454546
"Cereal,Soap,Tomatoes",Toothpaste,0.02,1.0,4.545454545454546
"Cereal,Soda,Tomatoes",Toothpaste,0.02,1.0,4.545454545454546
"Chicken,Chips,Pasta",Beef,0.02,1.0,4.545454545454546
"Chicken,Chips,Rice",Beef,0.02,1.0,4.545454545454546
"Chicken,Chips,Shampoo",Beef,0.02,1.0,4.545454545454546
"Chicken,Chips,Toothpaste",Beef,0.02,1.0,4.545454545454546
"Chicken,Fish,Shampoo",Beef,0.02,1.0,4.545454545454546
"Chicken,Pasta",Beef,0.02,1.0,4.545454545454546
"Chips,Cookies,Rice",Fish,0.02,1.0,4.545454545454546
"Chips,Eggs,Soda",Fish,0.02,1.0,4.545454545454546
"Chips,Fish,Juice",Bananas,0.02,1.0,4.545454545454546
"Chips,Fish,Potatoes",Bananas,0.02,1.0,4.545454545454546
"Chips,Water",Toothpaste,0.03,1.0,4.545454545454546
"Cookies,Fish,Soap",Beef,0.02,1.0,4.545454545454546
"Cookies,Milk,Shampoo",Beef,0.02,1.0,4.545454545454546
"Detergent,Eggs,Tomatoes",Beef,0.02,1.0,4.545454545454546
"Detergent,Onions,Water",Bananas,0.02,1.0,4.545454545454546
"Detergent,Pasta,Water",Juice,0.02,1.0,4.545454545454546
"Eggs,Tomatoes",Beef,0.02,1.0,4.545454545454546
"Fish,Juice,Rice",Bananas,0.02,1.0,4.545454545454546
"Fish,Potatoes",Bananas,0.03,1.0,4.545454545454546
"Fish,Potatoes,Soap",Bananas,0.02,1.0,4.545454545454546
"Fish,Potatoes,Soap,Soda",Bananas,0.02,1.0,4.545454545454546
"Fish,Potatoes,Soda",Bananas,0.02,1.0,4.545454545454546
"Fish,Shampoo",Beef,0.03,1.0,4.545454545454546
"Fish,Soap,Soda",Bananas,0.02,1.0,4.545454545454546
"Milk,Shampoo,Yogurt",Apples,0.02,1.0,4.545454545454546
"Milk,Soap,Soda",Beef,0.02,1.0,4.545454545454546
"Milk,Tomatoes",Toothpaste,0.02,1.0,4.545454545454546
"Onions,Potatoes,Rice",Juice,0.02,1.0,4.545454545454546
"Onions,Shampoo,Soap,Tomatoes",Toothpaste,0.02,1.0,4.545454545454546
"Onions,Shampoo,Tomatoes",Toothpaste,0.02,1.0,4.545454545454546
"Onions,Soap,Tomatoes",Toothpaste,0.02,1.0,4.545454545454546
"Onions,Water",Bananas,0.02,1.0,4.545454545454546
"Pasta,Soap,Yogurt",Apples,0.02,1.0,4.545454545454546
"Pasta,Toothpaste",Beef,0.02,1.0,4.545454545454546
"Shampoo,Soap,Tomatoes",Toothpaste,0.02,1.0,4.545454545454546
"Soap,Soda,Yogurt",Bananas,0.02,1.0,4.545454545454546
"Bananas,Detergent,Water",Onions,0.02,1.0,4.3478260869565215
"Beef,Cookies,Shampoo,Soap",Onions,0.02,1.0,4.3478260869565215
"Beef,Shampoo,Soap",Onions,0.02,1.0,4.3478260869565215
"Cereal,Cookies,Shampoo",Onions,0.02,1.0,4.3478260869565215
"Cereal,Cookies,Shampoo,Toothpaste",Onions,0.02,1.0,4.3478260869565215
"Cereal,Shampoo,Toothpaste",Onions,0.03,1.0,4.3478260869565215
"Cheese,Chicken",Onions,0.02,1.0,4.3478260869565215
"Cookies,Shampoo,Soap",Onions,0.03,1.0,4.3478260869565215
"Cookies,Shampoo,Toothpaste",Onions,0.02,1.0,4.3478260869565215
"Juice,Potatoes,Rice",Onions,0.02,1.0,4.3478260869565215
"Shampoo,Soap,Tomatoes",Onions,0.02,1.0,4.3478260869565215
"Shampoo,Soap,Tomatoes,Toothpaste",Onions,0.02,1.0,4.3478260869565215
"Shampoo,Soap,Toothpaste",Onions,0.02,1.0,4.3478260869565215
"Shampoo,Tomatoes,Toothpaste",Onions,0.02,1.0,4.3478260869565215
"Beef,Chicken,Chips,Shampoo",Butter,0.02,1.0,4.166666666666667
"Beef,Chips,Shampoo",Butter,0.02,1.0,4.166666666666667
"Cereal,Chicken,Shampoo",Butter,0.02,1.0,4.166666666666667
"Cereal,Juice",Butter,0.02,1.0,4.166666666666667
"Cereal,Juice,Soap",Butter,0.02,1.0,4.166666666666667
"Cereal,Juice,Soap,Soda",Butter,0.02,1.0,4.166666666666667
"Cereal,Juice,Soda",Butter,0.02,1.0,4.166666666666667
"Cereal,Shampoo,Soda",Butter,0.02,1.0,4.166666666666667
"Cheese,Juice,Toothpaste",Butter,0.02,1.0,4.166666666666667
"Cheese,Juice,Water",Butter,0.02,1.0,4.166666666666667
"Chicken,Chips,Shampoo",Butter,0.02,1.0,4.166666666666667
"Chips,Fish,Soap",Butter,0.02,1.0,4.166666666666667
"Chips,Shampoo,Toothpaste",Butter,0.02,1.0,4.166666666666667
"Cookies,Pasta,Shampoo",Butter,0.02,1.0,4.166666666666667
"Cookies,Shampoo,Soda",Butter,0.02,1.0,4.166666666666667
"Detergent,Milk",Butter,0.02,1.0,4.166666666666667
"Juice,Milk,Water",Butter,0.02,1.0,4.166666666666667
"Juice,Shampoo,Soda",Butter,0.02,1.0,4.166666666666667
"Juice,Soap,Soda",Butter,0.02,1.0,4.166666666666667
"Shampoo,Water",Butter,0.02,1.0,4.166666666666667
"Apples,Milk,Potatoes",Soap,0.02,1.0,4.0
"Apples,Pasta,Yogurt",Soap,0.02,1.0,4.0
"Apples,Potatoes",Soap,0.02,1.0,4.0
"Bananas,Fish,Potatoes,Soda",Soap,0.02,1.0,4.0
"Bananas,Fish,Soda",Soap,0.02,1.0,4.0
"Bananas,Potatoes,Soda",Soap,0.02,1.0,4.0
"Bananas,Soda",Soap,0.03,1.0,4.0
"Bananas,Soda,Yogurt",Soap,0.02,1.0,4.0
"Beef,Cookies,Fish",Soap,0.02,1.0,4.0
"Beef,Cookies,Onions",Soap,0.02,1.0,4.0
"Beef,Cookies,Onions,Shampoo",Soap,0.02,1.0,4.0
"Beef,Eggs,Water",Soap,0.02,1.0,4.0
"Beef,Milk,Onions",Soap,0.02,1.0,4.0
"Beef,Milk,Soda",Soap,0.02,1.0,4.0
"Beef,Onions,Shampoo",Soap,0.02,1.0,4.0
"Beef,Potatoes,Water",Soap,0.02,1.0,4.0
"Bread,Potatoes",Soap,0.02,1.0,4.0
"Butter,Cereal,Juice",Soap,0.02,1.0,4.0
"Butter,Cereal,Juice,Soda",Soap,0.02,1.0,4.0
"Butter,Eggs,Potatoes",Soap,0.02,1.0,4.0
"Butter,Potatoes",Soap,0.03,1.0,4.0
"Butter,Potatoes,Shampoo",Soap,0.02,1.0,4.0
"Cereal,Juice",Soap,0.02,1.0,4.0
"Cereal,Juice,Soda",Soap,0.02,1.0,4.0
"Cheese,Soda",Soap,0.02,1.0,4.0
"Chicken,Soda",Soap,0.02,1.0,4.0
"Cookies,Detergent,Yogurt",Soap,0.02,1.0,4.0
"Eggs,Potatoes,Water",Soap,0.02,1.0,4.0
"Fish,Potatoes,Soda",Soap,0.02,1.0,4.0
"Juice,Milk,Potatoes",Soap,0.02,1.0,4.0
"Onions,Shampoo,Tomatoes",Soap,0.02,1.0,4.0
"Onions,Shampoo,Tomatoes,Toothpaste",Soap,0.02,1.0,4.0
"Onions,Tomatoes,Toothpaste",Soap,0.02,1.0,4.0
"Pasta,Potatoes,Shampoo",Soap,0.02,1.0,4.0
"Potatoes,Shampoo",Soap,0.03,1.0,4.0
"Potatoes,Yogurt",Soap,0.03,1.0,4.0
"Shampoo,Tomatoes,Toothpaste",Soap,0.02,1.0,4.0
"Apples,Milk,Shampoo",Yogurt,0.02,1.0,3.846153846153846
"Apples,Pasta,Soap",Yogurt,0.02,1.0,3.846153846153846
"Bread,Fish,Soda",Yogurt,0.02,1.0,3.846153846153846
"Cookies,Detergent,Soap",Yogurt,0.02,1.0,3.846153846153846
"Beef,Detergent",Tomatoes,0.04,0.7999999999999999,5.333333333333333
"Beef,Pasta",Chips,0.04,0.7999999999999999,3.9999999999999996
"Butter,Chicken",Shampoo,0.04,0.7999999999999999,3.9999999999999996
"Onions,Toothpaste",Shampoo,0.04,0.7999999999999999,3.9999999999999996
"Cereal,Cookies",Toothpaste,0.04,0.7999999999999999,3.6363636363636362
"Chicken,Chips",Beef,0.04,0.7999999999999999,3.6363636363636362
"Detergent,Tomatoes",Beef,0.04,0.7999999999999999,3.6363636363636362
"Juice,Soda",Butter,0.04,0.7999999999999999,3.333333333333333
"Onions,Shampoo,Toothpaste",Cereal,0.03,0.75,4.166666666666667
"Soda,Toothpaste",Cereal,0.03,0.75,4.166666666666667
"Rice,Shampoo",Chicken,0.03,0.75,3.9473684210526314
"Apples,Shampoo",Cookies,0.03,0.75,3.75
"Butter,Cereal",Shampoo,0.03,0.75,3.75
"Butter,Cereal",Soda,0.03,0.75,3.75
"Butter,Rice",Shampoo,0.03,0.75,3.75
"Cereal,Tomatoes",Cookies,0.03,0.75,3.75
"Onions,Shampoo,Soap",Cookies,0.03,0.75,3.75
"Rice,Soap",Shampoo,0.03,0.75,3.75
"Bread,Chips",Detergent,0.03,0.75,3.5714285714285716
"Bananas,Cookies",Apples,0.03,0.75,3.409090909090909
"Beef,Water",Apples,0.03,0.75,3.409090909090909
"Cereal,Tomatoes",Toothpaste,0.03,0.75,3.409090909090909
"Chicken,Fish",Beef,0.03,0.75,3.409090909090909
"Chicken,Tomatoes",Toothpaste,0.03,0.75,3.409090909090909
"Chips,Rice",Fish,0.03,0.75,3.409090909090909
"Fish,Juice",Bananas,0.03,0.75,3.409090909090909
"Bananas,Milk",Onions,0.03,0.75,3.260869565217391
"Cheese,Detergent",Onions,0.03,0.75,3.260869565217391
"Pasta,Potatoes",Onions,0.03,0.75,3.260869565217391
"Cheese,Juice",Butter,0.03,0.75,3.125
"Chips,Shampoo",Butter,0.03,0.75,3.125
"Juice,Water",Butter,0.03,0.75,3.125
"Pasta,Shampoo",Butter,0.03,0.75,3.125
"Rice,Shampoo",Butter,0.03,0.75,3.125
"Shampoo,Soda",Butter,0.03,0.75,3.125
"Beef,Water",Soap,0.03,0.75,3.0
"Cookies,Onions,Shampoo",Soap,0.03,0.75,3.0
"Eggs,Potatoes",Soap,0.03,0.75,3.0
"Milk,Potatoes",Soap,0.03,0.75,3.0
"Potatoes,Soda",Soap,0.03,0.75,3.0
"Potatoes,Water",Soap,0.03,0.75,3.0
"Rice,Shampoo",Soap,0.03,0.75,3.0
"Bananas,Beef",Yogurt,0.03,0.75,2.8846153846153846
"Bananas,Detergent","Onions,Water",0.02,0.6666666666666667,33.333333333333336
"Bananas,Potatoes","Fish,Soap,Soda",0.02,0.6666666666666667,33.333333333333336
"Bananas,Soda","Fish,Potatoes,Soap",0.02,0.6666666666666667,33.333333333333336
"Beef,Butter","Chicken,Chips,Shampoo",0.02,0.6666666666666667,33.333333333333336
"Butter,Soap,Soda","Cereal,Juice",0.02,0.6666666666666667,33.333333333333336
"Fish,Soda","Bananas,Potatoes,Soap",0.02,0.6666666666666667,33.333333333333336
"Onions,Tomatoes","Shampoo,Soap,Toothpaste",0.02,0.6666666666666667,33.333333333333336
"Bananas,Potatoes","Fish,Soda",0.02,0.6666666666666667,22.222222222222225
"Bananas,Soap,Soda","Fish,Potatoes",0.02,0.6666666666666667,22.222222222222225
"Bananas,Soda","Fish,Potatoes",0.02,0.6666666666666667,22.222222222222225
"Butter,Cheese","Juice,Toothpaste",0.02,0.6666666666666667,22.222222222222225
"Cookies,Detergent","Pasta,Tomatoes",0.02,0.6666666666666667,22.222222222222225
"Fish,Potatoes","Bananas,Soap,Soda",0.02,0.6666666666666667,22.222222222222225
